species,nichebreadth
Acacia_dentifera,-3.17775577728612e-06
Acacia_desmondii,0.000551597094243604
Acacia_diallaga,-0.0816758276582434
Acacia_diaphyllodinea,0.00039420075102424
Acacia_dictyoneura,-0.000449986466295639
Acacia_dictyophleba,-2.10277264701814e-06
Acacia_didyma,-7.14355691090559e-05
Acacia_dielsii,-2.79744243057705e-05
Acacia_difficilis,3.62418698278793e-07
Acacia_dimidiata,5.71223316699277e-11
Acacia_distans,5.86419474039847e-05
Acacia_disticha,6.31959580876157e-05
Acacia_divergens,7.59375647405286e-10
Acacia_dodonaeifolia,1.76414738922382e-10
Acacia_dolichophylla,1.71597936500473e-06
Acacia_dorothea,-1.24610915647295e-09
Acacia_drepanocarpa,-3.38067409462169e-06
Acacia_drewiana,2.39618921644539e-10
Acacia_drummondii,6.6056703763886e-07
Acacia_dunnii,-4.7175932886547e-07
Acacia_echinula,1.46056035623509e-11
Acacia_elachantha,-9.71942487578757e-07
Acacia_elongata,-2.10636840364179e-12
Acacia_empelioclada,-4.05190056678508e-07
Acacia_enervia,7.93569760703807e-07
Acacia_enterocarpa,4.80191429159955e-08
Acacia_epacantha,-0.0322544362855518
Acacia_ephedroides,2.58268581017974e-06
Acacia_ericifolia,3.35031258603849e-09
Acacia_erinacea,-1.46283781244293e-07
Acacia_eriopoda,1.38805879166244e-06
Acacia_errabunda,-0.000438382775696614
Acacia_estrophiolata,1.99186790043852e-06
Acacia_euthycarpa,-5.40513792406455e-08
Acacia_euthyphylla,-0.00628842128566898
Acacia_excelsa,-9.96066551716433e-05
Acacia_excentrica,-2.05081041724513e-05
Acacia_exigua,-0.0458904333628838
Acacia_exocarpoides,3.85953333525389e-10
Acacia_extensa,8.59997259029625e-07
Acacia_falciformis,5.04515297873244e-07
Acacia_farinosa,-4.41401131943938e-08
Acacia_fasciculifera,-7.16890660682455e-09
Acacia_fauntleroyi,-0.000212146437314353
Acacia_fecunda,-0.499521266631287
Acacia_filicifolia,9.45892508755145e-11
Acacia_filifolia,1.88738895440121e-08
Acacia_fimbriata,-3.2500314764674e-15
Acacia_flabellifolia,-0.00506166991368506
Acacia_flagelliformis,0.000111256188417198
Acacia_flavescens,1.23740448523989e-06
Acacia_flavipila,2.65943195646454e-05
Acacia_fleckeri,-0.00017901175188658
Acacia_flexifolia,6.54194967287097e-09
Acacia_flocktoniae,2.53219004612234e-09
Acacia_floribunda,-2.36005936237222e-10
Acacia_fragilis,-7.47254717974915e-06
Acacia_frigescens,4.13709588603239e-11
Acacia_froggattii,1.60186188330087e-07
Acacia_fulva,-3.83688478744523e-10
Acacia_galeata,-0.000151981444099238
Acacia_galioides,6.74207680903957e-06
Acacia_gelasina,-0.000529083661844169
Acacia_gemina,0.000169744358021951
Acacia_genistifolia,-1.24182841535813e-08
Acacia_georginae,4.02266153933724e-05
Acacia_gilesiana,-1.40235847177932e-06
Acacia_gillii,3.04864536018198e-05
Acacia_gittinsii,3.26758023039947e-06
Acacia_gladiiformis,-9.23811930299632e-09
Acacia_glaucissima,0.00783121457439655
Acacia_glaucocaesia,-7.66165737488314e-07
Acacia_glaucocarpa,3.64368416631327e-08
Acacia_glaucoptera,-8.52572913443372e-08
Acacia_gnidium,1.72507691811294e-05
Acacia_gonocarpa,5.62922514763753e-08
Acacia_gonoclada,7.07749930483969e-08
Acacia_gonophylla,-1.22023843643242e-05
Acacia_gracilifolia,3.49705635094357e-06
Acacia_grandifolia,0.00214048205931402
Acacia_granitica,2.91141420836888e-07
Acacia_grasbyi,1.59576401929413e-06
Acacia_grayana,-3.55289444513574e-05
Acacia_gregorii,5.5125543587659e-05
Acacia_grisea,0.0027648222421642
Acacia_gunnii,-4.4422335026566e-07
Acacia_hakeoides,3.96051641787263e-10
Acacia_halliana,-1.24397167969128e-06
Acacia_hamersleyensis,-5.50282502271884e-06
Acacia_hamiltoniana,-1.12519784330874e-05
Acacia_hammondii,1.69552658179714e-11
Acacia_harpophylla,-7.11648579593609e-07
Acacia_harveyi,-5.64774672450265e-09
Acacia_hastulata,-3.34511977450624e-09
Acacia_havilandiorum,1.70032275920927e-07
Acacia_hemignosta,5.04993046687092e-07
Acacia_hemiteles,-0.00119373113269621
Acacia_hemsleyi,5.83438594892789e-08
Acacia_heterochroa,-0.00375066219697716
Acacia_heteroclita,2.68202681187855e-07
Acacia_hilliana,-1.47239305006353e-06
Acacia_hippuroides,-1.94813832884091e-08
Acacia_hispidula,3.07739467346758e-09
Acacia_hockingsii,-0.0345793275126947
Acacia_holosericea,-0.00792652454660169
Acacia_horridula,-1.16439004266688e-08
Acacia_howittii,8.26131909848294e-13
Acacia_huegelii,-3.23031328827006e-07
Acacia_hylonoma,-4.53861830301644e-06
Acacia_hypermeces,0.000188497147667873
Acacia_hystrix,-8.98029740785013e-05
Acacia_idiomorpha,-2.50390632097153e-08
Acacia_imbricata,4.77446429945965e-06
Acacia_implexa,1.11909505346675e-09
Acacia_inaequilatera,-1.51407676772624e-06
Acacia_inaequiloba,-2.30054504513288e-05
Acacia_incrassata,7.03309840236077e-07
Acacia_incurva,6.28475912172689e-06
Acacia_ingramii,6.74676893360931e-09
Acacia_ingrata,1.95990698217662e-06
Acacia_irrorata,-5.29930222656642e-12
Acacia_islana,-0.000119580754741607
Acacia_iteaphylla,-5.9382824708866e-07
Acacia_ixiophylla,-2.84703883625509e-06
Acacia_ixodes,6.95395792092989e-10
Acacia_jacksonioides,0.00122246981959112
Acacia_jamesiana,5.40623267078778e-07
Acacia_jennerae,1.1971437124821e-05
Acacia_jensenii,3.57653189989474e-09
Acacia_jibberdingensis,4.18020366652028e-06
Acacia_jonesii,1.59985482337619e-13
Acacia_jucunda,7.48784377138194e-08
Acacia_juncifolia,-6.49182722859779e-07
Acacia_karina,0.109013696261816
Acacia_kauaiensis,0.00416859239847109
Acacia_kelleri,1.08591561188423e-08
Acacia_kempeana,3.66132203058741e-05
Acacia_kettlewelliae,1.70551947699198e-06
Acacia_koa,0.00082822025308139
Acacia_koaia,8.14338523836171e-07
Acacia_kydrensis,1.24549664278333e-08
Acacia_lachnophylla,9.48307090856212e-05
Acacia_lamprocarpa,-1.24899760588862e-08
Acacia_lanei,0.00584677044089499
Acacia_lanigera,1.31644351840599e-07
Acacia_laricina,3.64131084238401e-06
Acacia_lasiocalyx,7.34063429706335e-06
Acacia_lasiocarpa,-0.000191812915036582
Acacia_latescens,-1.79891461558308e-08
Acacia_latior,-3.13540334389669e-10
Acacia_latipes,-1.78276574998586e-05
Acacia_latisepala,-6.15420397179125e-07
Acacia_latzii,0.0178789064432341
Acacia_leiocalyx,3.67861802106291e-10
Acacia_leioderma,1.47525310666414e-09
Acacia_leiophylla,-1.51975484567663e-05
Acacia_lentiginea,-0.018552267807573
Acacia_leprosa,-3.30245500989032e-11
Acacia_leptalea,-0.00179463084224089
Acacia_leptocarpa,4.47692332396697e-05
Acacia_leptoclada,2.16640148877224e-09
Acacia_leptoneura,1.34889183782633e-06
Acacia_leptopetala,-1.9474444438857e-07
Acacia_leptophleba,3.99935151460929e-08
Acacia_leptospermoides,2.35412568541576e-07
Acacia_leptostachya,-3.57603736682995e-08
Acacia_leucoclada,2.75962876750083e-09
Acacia_leucolobia,3.11959183946256e-08
Acacia_ligulata,7.20967416670861e-10
Acacia_limbata,1.29548447710392e-07
Acacia_linearifolia,2.86213694124116e-09
Acacia_lineata,-2.22051513345808e-08
Acacia_linifolia,0.0023467833795584
Acacia_lobulata,-0.110713567822703
Acacia_loderi,-1.37217618350987e-09
Acacia_longispicata,-1.32373423482518e-08
Acacia_longispinea,6.30537654955314e-08
Acacia_longissima,-3.38910798633478e-11
Acacia_loroloba,-6.39451500025615e-05
Acacia_loxophylla,-6.39861185844192e-05
Acacia_lucasii,-1.47296766625673e-12
Acacia_lunata,3.4326439351271e-08
Acacia_lycopodiifolia,3.58392470675991e-06
Acacia_lysiphloia,2.5797714373573e-05
Acacia_mabellae,1.42802404333334e-09
Acacia_macdonnellensis,-9.24727029384693e-06
Acacia_mackeyana,3.66869024768674e-07
Acacia_macnuttiana,-3.42023756291674e-10
Acacia_maconochieana,-5.44397484847014e-06
Acacia_macradenia,4.1689976507619e-08
Acacia_macrantha,-1.52281212593876e-06
Acacia_maidenii,-1.86375020850901e-09
Acacia_maitlandii,-6.4795845591431e-05
Acacia_mangium,-8.49123029932473e-07
Acacia_maranoensis,-0.0256648594199687
Acacia_marramamba,1.43927236574147e-06
Acacia_masliniana,2.36125296952279e-07
Acacia_matthewii,-6.11529182549845e-07
Acacia_mearnsii,-2.80503155319257e-13
Acacia_megacephala,5.48818344053837e-05
Acacia_meiantha,-0.00107194128337291
Acacia_meisneri,-2.5002325146721e-10
Acacia_melanoxylon,0.00343553926906399
Acacia_melleodora,1.66914439714978e-07
Acacia_melvillei,-9.73937358465746e-08
Acacia_menzelii,3.75653945249783e-08
Acacia_merinthophora,1.8540343966573e-07
Acacia_merrallii,-3.38802908789832e-07
Acacia_microbotrya,-7.06838431957343e-06
Acacia_microcalyx,-1.65367481120301e-07
Acacia_microcarpa,-4.16237170242236e-06
Acacia_microsperma,1.05488164688817e-07
Acacia_mimica,2.03926205618316e-07
Acacia_mimula,-1.68494898406177e-09
Acacia_minniritchi,1.28591020077309e-05
Acacia_minyura,-7.33354919793776e-07
Acacia_mitchellii,3.76972508309813e-11
Acacia_mollifolia,-6.81226934199133e-08
Acacia_mooreana,6.07380448961682e-07
Acacia_mountfordiae,0.00010937761110663
Acacia_mucronata,-8.6199154887611e-05
Acacia_muelleriana,6.85808307012242e-11
Acacia_multisiliqua,1.59871993937204e-08
Acacia_multispicata,-1.42535756838394e-05
Acacia_murrayana,5.64861857743705e-06
Acacia_mutabilis,-7.08815576073916e-07
Acacia_myrtifolia,-7.36677369262949e-06
Acacia_nanodealbata,-2.98162495631037e-09
Acacia_nematophylla,5.51696036707328e-07
Acacia_neobrachycarpa,-4.22938582547066e-05
Acacia_neriifolia,2.12222631638354e-08
Acacia_nervosa,3.2759044468398e-06
Acacia_neurocarpa,2.53742386815073e-09
Acacia_neurophylla,2.36846530010291e-06
Acacia_nigricans,-2.5932370431991e-09
Acacia_nigripilosa,1.68376091216481e-08
Acacia_nitidula,-0.000355346846046629
Acacia_nodiflora,2.90830403542301e-05
Acacia_notabilis,9.67246084617778e-08
Acacia_nyssophylla,7.65616429113208e-07
Acacia_obliquinervia,1.39616539290999e-08
Acacia_obtecta,-4.11002081693513e-05
Acacia_obtusata,1.19109348525369e-09
Acacia_obtusifolia,-1.46254540322326e-12
Acacia_oldfieldii,-3.81346261331846e-07
Acacia_olgana,1.85884336008803e-06
Acacia_oligoneura,-2.74622836862238e-08
Acacia_olsenii,-2.35359812834688e-08
Acacia_omalophylla,-5.89494908538106e-06
Acacia_oncinocarpa,-1.4264848124303e-10
Acacia_oncinophylla,5.42629315910256e-07
Acacia_ophiolithica,-0.000146839471174914
Acacia_oraria,1.32059589996237e-07
Acacia_orbifolia,2.90074166640307e-07
Acacia_orites,-2.27245951549364e-11
Acacia_orthocarpa,-1.13436700563412e-07
Acacia_orthotricha,2.03708233947141e-07
Acacia_oshanesii,-3.44737255641168e-11
Acacia_oswaldii,1.57617633079627e-10
Acacia_oxycedrus,-3.30095332566686e-09
Acacia_oxyclada,6.2448679887445e-05
Acacia_pachyacra,-3.0192035750204e-05
Acacia_pachycarpa,1.3048007443107e-05
Acacia_papyrocarpa,-9.36323094840774e-08
Acacia_paraneura,-5.64112940053212e-06
Acacia_parramattensis,7.44932450106363e-11
Acacia_parvipinnula,6.84584012226822e-10
Acacia_patagiata,-1.53591957457598e-06
Acacia_pedleyi,0.00363181572114385
Acacia_pellita,1.51472211375827e-09
Acacia_pendula,-4.06025023085454e-07
Acacia_penninervis,6.18344105477051e-08
Acacia_pentadenia,-6.18964123478273e-09
Acacia_perryi,5.82096554831286e-07
Acacia_petraea,-4.2723362638333e-06
Acacia_peuce,0.000324310920879245
Acacia_pharangites,3.66686302202776
Acacia_phlebopetala,1.71222527644666e-05
Acacia_pickardii,0.00221988876711697
Acacia_piligera,-7.59979582173714e-09
Acacia_pilligaensis,-1.64829734430207e-07
Acacia_pinguiculosa,-2.16407460565412e-11
Acacia_pinguifolia,-4.67547177090786e-07
Acacia_platycarpa,4.60834524647574e-06
Acacia_plectocarpa,5.08276864292033e-10
Acacia_podalyriaefolia,-0.000211927854231476
Acacia_podalyriifolia,7.5103052165279e-07
Acacia_poliochroa,-5.95742152637259e-06
Acacia_polybotrya,6.57283110987926e-09
Acacia_polystachya,-1.10560781747595e-08
Acacia_praelongata,4.75012348546464e-11
Acacia_prainii,-1.13000715322566e-06
Acacia_pravifolia,9.19830705609099e-07
Acacia_pravissima,-4.77315739851459e-08
Acacia_producta,1.96018184833629e-09
Acacia_proiantha,0.0152432576654193
Acacia_prominens,6.56730138878212e-16
Acacia_proxima,3.28234053485066e-07
Acacia_pruinocarpa,3.20141778062816e-05
Acacia_pterocaulon,0.028249270451526
Acacia_ptychophylla,-1.66169134362733e-09
Acacia_pubescens,5.10371996560864e-05
Acacia_pubicosta,-0.000529049304708117
Acacia_pubifolia,-1.20977980119104e-06
Acacia_pubirhachis,-8.6644309074259e-11
Acacia_pulchella,-9.86737800946943e-08
Acacia_pulviniformis,9.34992357040636e-05
Acacia_puncticulata,1.53483271857234e-09
Acacia_pusilla,1.58940546043959e-05
Acacia_pustula,7.92641931536001e-06
Acacia_pycnantha,-2.22479896134903e-10
Acacia_pycnocephala,2.65629600751674e-08
Acacia_pycnostachya,-1.77972835293704e-08
Acacia_pygmaea,2.93935139872634
Acacia_pyrifolia,5.13957032743778e-05
Acacia_quadrilateralis,2.71945356093823e-10
Acacia_quadrimarginea,-1.87799249559295e-08
Acacia_quornensis,-0.000458247898803659
Acacia_ramiflora,1.26930225275224e-09
Acacia_ramulosa,2.47128065998613e-05
Acacia_redolens,8.46276371621743e-07
Acacia_repanda,-0.0057808334715394
Acacia_resinimarginea,-1.16706551423842e-06
Acacia_resinosa,5.0393793159043e-07
Acacia_restiacea,-1.96612096127816e-07
Acacia_retinervis,1.096031370426e-07
Acacia_retinodes,-3.21334971960795e-09
Acacia_retivenea,-4.73454778326977e-07
Acacia_rhamphophylla,-5.58263451994241e-05
Acacia_rhetinocarpa,-1.27513302408761e-05
Acacia_rhigiophylla,1.49190231783646e-07
Acacia_rhodophloia,6.12303363824786e-06
Acacia_riceana,2.09225824645306e-11
Acacia_rigens,1.44140426008128e-10
Acacia_rivalis,-1.01628402086145e-06
Acacia_rossei,0.000695559034590054
Acacia_roycei,-2.98665403515471e-06
Acacia_rubida,5.75103040780853e-11
Acacia_rupicola,-1.12844526869962e-08
Acacia_ruppii,2.43693651485111e-07
Acacia_ryaniana,0.0119559346835393
Acacia_sabulosa,-2.47368824974028e-06
Acacia_saliciformis,-7.19233698588018e-08
Acacia_salicina,2.81325371723287e-08
Acacia_saligna,3.05649301927498e-07
Acacia_saxatilis,3.41381959857399e-05
Acacia_schinoides,1.21252839823473e-08
Acacia_scirpifolia,2.12121441758176e-09
Acacia_sclerophylla,3.12513739184957e-05
Acacia_sclerosperma,-5.05659195048391e-06
Acacia_scleroxyla,1.03898564485438e-07
Acacia_scopulorum,-0.000264360365350487
Acacia_sedifolia,-0.00237873907431011
Acacia_semicircinalis,0.00541082480595678
Acacia_semilunata,8.97822674403322e-05
Acacia_semitrullata,1.01190948635614e-07
Acacia_sericata,-1.30953977000789e-11
Acacia_sericoflora,-4.77451779220079e-06
Acacia_sertiformis,-5.45959883495525e-07
Acacia_sessilis,1.25373893539443e-08
Acacia_sessilispica,-7.93540622855871e-06
Acacia_shirleyi,-0.000195829548411554
Acacia_sibilans,-6.19309386517087e-07
Acacia_sibina,3.98588134232664e-08
Acacia_siculiformis,7.5583787853757e-06
Acacia_signata,-1.63884258364393e-07
Acacia_silvestris,1.66971785876388e-07
Acacia_simplex,0.000943662765696146
Acacia_simsii,-1.50066287501973e-07
Acacia_simulans,-0.0591075721495107
Acacia_sparsiflora,-4.606423563499e-07
Acacia_spathulifolia,-2.22288345235084e-07
Acacia_spectabilis,6.39889120321424e-09
Acacia_spinescens,-2.18646111625906e-05
Acacia_spirorbis,-9.67322020734301e-08
Acacia_splendens,0.0753752943556773
Acacia_spondylophylla,-2.32406643878781e-05
Acacia_spongolitica,-0.000347332735634856
Acacia_stenophylla,-1.80190572512222e-06
Acacia_stenoptera,-1.8205882816904e-05
Acacia_stereophylla,4.97119069177665e-08
Acacia_stigmatophylla,7.44180024935983e-07
Acacia_stipuligera,-1.16006804299092e-07
Acacia_storyi,5.47419088714079e-05
Acacia_striatifolia,-7.8541507562924e-11
Acacia_stricta,9.57924799992417e-10
Acacia_strongylophylla,2.29079631389179e-08
Acacia_suaveolens,-1.49883576453887e-11
Acacia_subcaerulea,2.05341408392099e-09
Acacia_subporosa,7.02062566780493e-09
Acacia_subrigida,0.000618675966858385
Acacia_subsessilis,-0.000245164494115182
Acacia_subtessarogona,-9.79172229936835e-11
Acacia_subulata,-6.19339866475703e-10
Acacia_sulcata,1.74404627008e-06
Acacia_sulcaticaulis,1.74103396669346
Acacia_synchronicia,-4.16843403759759e-06
Acacia_tarculensis,3.08325914488358e-06
Acacia_telmica,0.00644016220918756
Acacia_tenuinervis,0.000714872539812626
Acacia_tenuispica,2.94612395797866e-06
Acacia_tenuissima,0.00023909959486406
Acacia_tephrina,-4.13119052898708e-06
Acacia_terminalis,9.9915268594459e-12
Acacia_tessellata,-1.438555152691e-08
Acacia_tetanophylla,8.15745454996271e-07
Acacia_tetragonophylla,-3.97165987745796e-07
