species,dropped_tips
Alnus_jorullensis_subsp_jorullensis,Alnus_jorullensis_subsp_jorullensis
Alnus_maritima_subsp_maritima,Alnus_maritima_subsp_maritima
Alnus_maritima_subsp_oklahomensis,Alnus_maritima_subsp_oklahomensis
Alphitonia_marquesensis,Alphitonia_marquesensis
Alysicarpus_naikianus,Alysicarpus_naikianus
Amelanchier_lamarckii,Amelanchier_lamarckii
Amelanchier_parviflora,Amelanchier_parviflora
Ammothamnus_songoricus,Ammothamnus_songoricus
Ampelosycios_bosseri,Ampelosycios_bosseri
Ampelosycios_humblotii,Ampelosycios_humblotii
Anarthrophyllum_ornithopodum,Anarthrophyllum_ornithopodum
Andira_inermis_subsp_inermis,Andira_inermis_subsp_inermis
Anisophyllea_meniaudi,Anisophyllea_meniaudi
Annamocarya_sinensis,Annamocarya_sinensis
Anthyllis_lagascana,Anthyllis_lagascana
Anthyllis_montana_subsp_jacquinii,Anthyllis_montana_subsp_jacquinii
Anthyllis_onobrychoides,Anthyllis_onobrychoides
Anthyllis_ramburei,Anthyllis_ramburei
Anthyllis_splendens,Anthyllis_splendens
Antiaris_toxicaria_subsp_madagascariensis,Antiaris_toxicaria_subsp_madagascariensis
Aphanes_occidentalis,Aphanes_occidentalis
Aphanocalyx_microphyllus_subsp_compactus,Aphanocalyx_microphyllus_subsp_compactus
Aphanocalyx_microphyllus_subsp_microphyllus,Aphanocalyx_microphyllus_subsp_microphyllus
Apios_chendezhaoana,Apios_chendezhaoana
Apoplanesia_cryptopetala,Apoplanesia_cryptopetala
Arachis_paraguariensis_subsp_capibarensis,Arachis_paraguariensis_subsp_capibarensis
Arachis_paraguariensis_subsp_paraguariensis,Arachis_paraguariensis_subsp_paraguariensis
Arachis_schinini,Arachis_schinini
Archidendron_kuenstleri,Archidendron_kuenstleri
Arcoa_gonavensis,Arcoa_gonavensis
Arquita_celendiniana,Arquita_celendiniana
Arquita_trichocarpa,Arquita_trichocarpa
Arthroclianthus_andersonii,Arthroclianthus_andersonii
Arthroclianthus_balansae,Arthroclianthus_balansae
Arthroclianthus_cuneatus,Arthroclianthus_cuneatus
Arthroclianthus_deplanchei,Arthroclianthus_deplanchei
Arthroclianthus_leratii,Arthroclianthus_leratii
Arthroclianthus_macrobotryosus,Arthroclianthus_macrobotryosus
Arthroclianthus_maximus,Arthroclianthus_maximus
Arthroclianthus_obovatus,Arthroclianthus_obovatus
