Genus,Genus_Nodulation_Status,Type,Legume?,Subfamily
Abarema,Yes,Rhizobial,Yes,Caesalpinioideae
Abrus,Yes,Rhizobial,Yes,Papilionoideae
Acacia,Yes,Rhizobial,Yes,Caesalpinioideae
Acaciella,Unknown,n/a,Yes,Caesalpinioideae
Acmispon,Unknown,n/a,Yes,Papilionoideae
Acosmium,No,n/a,Yes,Papilionoideae
Acrocarpus,Unknown,n/a,Yes,Caesalpinioideae
Adenocarpus,Yes,Rhizobial,Yes,Papilionoideae
Adenodolichos,Yes,Rhizobial,Yes,Papilionoideae
Adenolobus,Unknown,n/a,Yes,Cercidoideae
Adenopodia,Unknown,n/a,Yes,Caesalpinioideae
Adesmia,Yes,Rhizobial,Yes,Papilionoideae
Aenictophyton,Unknown,n/a,Yes,Papilionoideae
Aeschynomene,Yes,Rhizobial,Yes,Papilionoideae
Afgekia,Unknown,n/a,Yes,Papilionoideae
Afrocalliandra,Unknown,n/a,Yes,Caesalpinioideae
Afzelia,No,n/a,Yes,Detarioideae
Aganope,Yes,Rhizobial,Yes,Papilionoideae
Airyantha,Unknown,n/a,Yes,Papilionoideae
Akschindlium,Unknown,n/a,Yes,Papilionoideae
Alantsilodendron,Unknown,n/a,Yes,Caesalpinioideae
Albizia,Yes,Rhizobial,Yes,Caesalpinioideae
Aldina,No,n/a,Yes,Papilionoideae
Alexa,No,n/a,Yes,Papilionoideae
Alhagi,Yes,Rhizobial,Yes,Papilionoideae
Alistilus,Yes,Rhizobial,Yes,Papilionoideae
Almaleea,Yes,Rhizobial,Yes,Papilionoideae
Alysicarpus,Yes,Rhizobial,Yes,Papilionoideae
Amblygonocarpus,No,n/a,Yes,Caesalpinioideae
Amburana,No,n/a,Yes,Papilionoideae
Amherstia,No,n/a,Yes,Detarioideae
Amicia,Unknown,n/a,Yes,Papilionoideae
Ammodendron,Unknown,n/a,Yes,Papilionoideae
Ammopiptanthus,Unknown,n/a,Yes,Papilionoideae
Amorpha,Yes,Rhizobial,Yes,Papilionoideae
Amphicarpaea,Yes,Rhizobial,Yes,Papilionoideae
Amphimas,No,n/a,Yes,Papilionoideae
Amphiodon,Unknown,n/a,Yes,Papilionoideae
Amphithalea,Yes,Rhizobial,Yes,Papilionoideae
Anadenanthera,Yes,Rhizobial,Yes,Caesalpinioideae
Anagyris,Yes,Rhizobial,Yes,Papilionoideae
Anarthrophyllum,Unknown,n/a,Yes,Papilionoideae
Ancistrotropis,Unknown,n/a,Yes,Papilionoideae
Andira,No,n/a,Yes,Papilionoideae
Androcalymma,Unknown,n/a,Yes,Dialioideae
Angylocalyx,Unknown,n/a,Yes,Papilionoideae
Annea,Unknown,n/a,Yes,Detarioideae
Antheroporum,Unknown,n/a,Yes,Papilionoideae
Anthonotha,Unknown,n/a,Yes,Detarioideae
Anthyllis,Yes,Rhizobial,Yes,Papilionoideae
Antopetitia,Yes,Rhizobial,Yes,Papilionoideae
Aotus,Yes,Rhizobial,Yes,Papilionoideae
Aphanocalyx,Unknown,n/a,Yes,Detarioideae
Aphyllodium,Yes,Rhizobial,Yes,Papilionoideae
Apios,Yes,Rhizobial,Yes,Papilionoideae
Apoplanesia,Unknown,n/a,Yes,Papilionoideae
Apuleia,No,n/a,Yes,Dialioideae
Apurimacia,Unknown,n/a,Yes,Papilionoideae
Arachis,Yes,Rhizobial,Yes,Papilionoideae
Arapatiella,Unknown,n/a,Yes,Caesalpinioideae
Archidendron,Unknown,n/a,Yes,Caesalpinioideae
Archidendropsis,Unknown,n/a,Yes,Caesalpinioideae
Arcoa,Unknown,n/a,Yes,Caesalpinioideae
Argyrocytisus,Unknown,n/a,Yes,Papilionoideae
Argyrolobium,Yes,Rhizobial,Yes,Papilionoideae
Arquita,Unknown,n/a,Yes,Caesalpinioideae
Arthroclianthus,Unknown,n/a,Yes,Papilionoideae
Aspalathus,Yes,Rhizobial,Yes,Papilionoideae
Astragalus,Yes,Rhizobial,Yes,Papilionoideae
Ateleia,Yes,Rhizobial,Yes,Papilionoideae
Aubrevillea,Unknown,n/a,Yes,Caesalpinioideae
Augouardia,Unknown,n/a,Yes,Detarioideae
Austrodolichos,Unknown,n/a,Yes,Papilionoideae
Austrosteenisia,Unknown,n/a,Yes,Papilionoideae
Baikiaea,No,n/a,Yes,Detarioideae
Balizia,Yes,Rhizobial,Yes,Caesalpinioideae
Balsamocarpon,Unknown,n/a,Yes,Caesalpinioideae
Baphia,Yes,Rhizobial,Yes,Papilionoideae
Baphiastrum,Unknown,n/a,Yes,Papilionoideae
Baphiopsis,Unknown,n/a,Yes,Papilionoideae
Baptisia,Yes,Rhizobial,Yes,Papilionoideae
Barbieria,Unknown,n/a,Yes,Papilionoideae
Barklya,Unknown,n/a,Yes,Cercidoideae
Barnebydendron,Unknown,n/a,Yes,Detarioideae
Batesia,No,n/a,Yes,Caesalpinioideae
Baudouinia,Unknown,n/a,Yes,Dialioideae
Bauhinia,No,n/a,Yes,Cercidoideae
Behaimia,Unknown,n/a,Yes,Papilionoideae
Berlinia,No,n/a,Yes,Detarioideae
Biancaea,Unknown,n/a,Yes,Caesalpinioideae
Bikinia,Unknown,n/a,Yes,Detarioideae
Bionia,Yes,Rhizobial,Yes,Papilionoideae
Biserrula,Unknown,n/a,Yes,Papilionoideae
Bituminaria,Yes,Rhizobial,Yes,Papilionoideae
Blanchetiodendron,Unknown,n/a,Yes,Caesalpinioideae
Bobgunnia,No,n/a,Yes,Papilionoideae
Bocoa,No,n/a,Yes,Papilionoideae
Bolusafra,Yes,Rhizobial,Yes,Papilionoideae
Bolusanthus,Yes,Rhizobial,Yes,Papilionoideae
Bolusia,Yes,Rhizobial,Yes,Papilionoideae
Bossiaea,Yes,Rhizobial,Yes,Papilionoideae
Bouffordia,Unknown,n/a,Yes,Papilionoideae
Bowdichia,Yes,Rhizobial,Yes,Papilionoideae
Bowringia,Unknown,n/a,Yes,Papilionoideae
Brachycylix,Unknown,n/a,Yes,Detarioideae
Brachystegia,No,n/a,Yes,Detarioideae
Brandzeia,Unknown,n/a,Yes,Detarioideae
Brenierea,Unknown,n/a,Yes,Cercidoideae
Brodriguesia,Unknown,n/a,Yes,Detarioideae
Brongniartia,Unknown,n/a,Yes,Papilionoideae
Brownea,Yes,Rhizobial,Yes,Detarioideae
Browneopsis,Unknown,n/a,Yes,Detarioideae
Brya,Yes,Rhizobial,Yes,Papilionoideae
Bryaspis,Unknown,n/a,Yes,Papilionoideae
Burkea,No,n/a,Yes,Caesalpinioideae
Burkilliodendron,Unknown,n/a,Yes,Papilionoideae
Bussea,Unknown,n/a,Yes,Caesalpinioideae
Butea,No,n/a,Yes,Papilionoideae
Cadia,Unknown,n/a,Yes,Papilionoideae
Caesalpinia,Yes,Rhizobial,Yes,Caesalpinioideae
Cajanus,Yes,Rhizobial,Yes,Papilionoideae
Calicotome,Yes,Rhizobial,Yes,Papilionoideae
Callerya,Unknown,n/a,Yes,Papilionoideae
Calliandra,Yes,Rhizobial,Yes,Caesalpinioideae
Calliandropsis,Unknown,n/a,Yes,Caesalpinioideae
Calobota,Unknown,n/a,Yes,Papilionoideae
Calophaca,Unknown,n/a,Yes,Papilionoideae
Calopogonium,Yes,Rhizobial,Yes,Papilionoideae
Calpocalyx,Unknown,n/a,Yes,Caesalpinioideae
Calpurnia,Yes,Rhizobial,Yes,Papilionoideae
Camoensia,Unknown,n/a,Yes,Papilionoideae
Campsiandra,Yes,Rhizobial,Yes,Caesalpinioideae
Camptosema,Unknown,n/a,Yes,Papilionoideae
Campylotropis,Yes,Rhizobial,Yes,Papilionoideae
Canavalia,Yes,Rhizobial,Yes,Papilionoideae
Candolleodendron,Unknown,n/a,Yes,Papilionoideae
Caragana,Yes,Rhizobial,Yes,Papilionoideae
Carmichaelia,Yes,Rhizobial,Yes,Papilionoideae
Carrissoa,Unknown,n/a,Yes,Papilionoideae
Cascaronia,Unknown,n/a,Yes,Papilionoideae
Cassia,Yes,Rhizobial,Yes,Caesalpinioideae
Castanospermum,No,n/a,Yes,Papilionoideae
Cathormion,Unknown,n/a,Yes,Caesalpinioideae
Cedrelinga,Yes,Rhizobial,Yes,Caesalpinioideae
Cenostigma,Unknown,n/a,Yes,Caesalpinioideae
Centrolobium,Yes,Rhizobial,Yes,Papilionoideae
Centrosema,Yes,Rhizobial,Yes,Papilionoideae
Ceratonia,No,n/a,Yes,Caesalpinioideae
Cercis,No,n/a,Yes,Cercidoideae
Chadsia,Unknown,n/a,Yes,Papilionoideae
Chaetocalyx,No,n/a,Yes,Papilionoideae
Chamaecrista,Yes,Rhizobial,Yes,Caesalpinioideae
Chamaecytisus,Yes,Rhizobial,Yes,Papilionoideae
Chapmannia,Unknown,n/a,Yes,Papilionoideae
Cheniella,Unknown,n/a,Yes,Cercidoideae
Chesneya,Unknown,n/a,Yes,Papilionoideae
Chidlowia,Yes,Rhizobial,Yes,Caesalpinioideae
Chloroleucon,Unknown,n/a,Yes,Caesalpinioideae
Chorizema,Yes,Rhizobial,Yes,Papilionoideae
Christia,Yes,Rhizobial,Yes,Papilionoideae
Cicer,Yes,Rhizobial,Yes,Papilionoideae
Cladrastis,No,n/a,Yes,Papilionoideae
Clathrotropis,Yes,Rhizobial,Yes,Papilionoideae
Cleobulia,Unknown,n/a,Yes,Papilionoideae
Clianthus,Yes,Rhizobial,Yes,Papilionoideae
Clitoria,Yes,Rhizobial,Yes,Papilionoideae
Clitoriopsis,Unknown,n/a,Yes,Papilionoideae
Cochlianthus,Unknown,n/a,Yes,Papilionoideae
Cochliasanthus,Unknown,n/a,Yes,Papilionoideae
Codariocalyx,Yes,Rhizobial,Yes,Papilionoideae
Cojoba,Unknown,n/a,Yes,Caesalpinioideae
Collaea,Unknown,n/a,Yes,Papilionoideae
Cologania,Yes,Rhizobial,Yes,Papilionoideae
Colophospermum,No,n/a,Yes,Detarioideae
Colutea,Yes,Rhizobial,Yes,Papilionoideae
Colvillea,Unknown,n/a,Yes,Caesalpinioideae
Condylostylis,Unknown,n/a,Yes,Papilionoideae
Conzattia,Unknown,n/a,Yes,Caesalpinioideae
Copaifera,Yes,Rhizobial,Yes,Detarioideae
Cordeauxia,Unknown,n/a,Yes,Caesalpinioideae
Cordyla,No,n/a,Yes,Papilionoideae
Corethrodendron,Unknown,n/a,Yes,Papilionoideae
Coronilla,Yes,Rhizobial,Yes,Papilionoideae
Coulteria,Unknown,n/a,Yes,Caesalpinioideae
Coursetia,No,n/a,Yes,Papilionoideae
Craibia,Unknown,n/a,Yes,Papilionoideae
Cranocarpus,Unknown,n/a,Yes,Papilionoideae
Craspedolobium,Unknown,n/a,Yes,Papilionoideae
Cratylia,Yes,Rhizobial,Yes,Papilionoideae
Cristonia,Unknown,n/a,Yes,Papilionoideae
Crotalaria,Yes,Rhizobial,Yes,Papilionoideae
Crudia,No,n/a,Yes,Detarioideae
Cryptosepalum,No,n/a,Yes,Detarioideae
Cullen,Yes,Rhizobial,Yes,Papilionoideae
Cyamopsis,Yes,Rhizobial,Yes,Papilionoideae
Cyathostegia,Unknown,n/a,Yes,Papilionoideae
Cyclocarpa,Unknown,n/a,Yes,Papilionoideae
Cyclolobium,Unknown,n/a,Yes,Papilionoideae
Cyclopia,Yes,Rhizobial,Yes,Papilionoideae
Cylicodiscus,Unknown,n/a,Yes,Caesalpinioideae
Cynometra,No,n/a,Yes,Detarioideae
Cytisophyllum,Unknown,n/a,Yes,Papilionoideae
Cytisopsis,Unknown,n/a,Yes,Papilionoideae
Cytisus,Yes,Rhizobial,Yes,Papilionoideae
Dahlstedtia,Unknown,n/a,Yes,Papilionoideae
Dalbergia,Yes,Rhizobial,Yes,Papilionoideae
Dalbergiella,Yes,Rhizobial,Yes,Papilionoideae
Dalea,Yes,Rhizobial,Yes,Papilionoideae
Dalhousiea,No,n/a,Yes,Papilionoideae
Daniellia,Unknown,n/a,Yes,Detarioideae
Daviesia,Yes,Rhizobial,Yes,Papilionoideae
Decorsea,Yes,Rhizobial,Yes,Papilionoideae
Deguelia,Unknown,n/a,Yes,Papilionoideae
Delonix,Yes,Rhizobial,Yes,Caesalpinioideae
Dendrolobium,Unknown,n/a,Yes,Papilionoideae
Denisophytum,Unknown,n/a,Yes,Caesalpinioideae
Dermatophyllum,Unknown,n/a,Yes,Papilionoideae
Derris,Yes,Rhizobial,Yes,Papilionoideae
Desmanthus,Yes,Rhizobial,Yes,Caesalpinioideae
Desmodiopsis,Unknown,n/a,Yes,Papilionoideae
Desmodium,Yes,Rhizobial,Yes,Papilionoideae
Detarium,No,n/a,Yes,Detarioideae
Dewevrea,Yes,Rhizobial,Yes,Papilionoideae
Dialium,Yes,Rhizobial,Yes,Dialioideae
Dichilus,Yes,Rhizobial,Yes,Papilionoideae
Dichrostachys,Yes,Rhizobial,Yes,Caesalpinioideae
Dicorynia,Yes,Rhizobial,Yes,Dialioideae
Dicraeopetalum,Unknown,n/a,Yes,Papilionoideae
Dicymbe,Yes,Rhizobial,Yes,Detarioideae
Didelotia,Unknown,n/a,Yes,Detarioideae
Dillwynia,Yes,Rhizobial,Yes,Papilionoideae
Dimorphandra,Yes,Rhizobial,Yes,Caesalpinioideae
Dinizia,No,n/a,Yes,Caesalpinioideae
Dioclea,Yes,Rhizobial,Yes,Papilionoideae
Diphyllarium,Unknown,n/a,Yes,Papilionoideae
Diphysa,Unknown,n/a,Yes,Papilionoideae
Diplotropis,Yes,Rhizobial,Yes,Papilionoideae
Dipogon,Yes,Rhizobial,Yes,Papilionoideae
Dipteryx,No,n/a,Yes,Papilionoideae
Diptychandra,Unknown,n/a,Yes,Caesalpinioideae
Discolobium,Unknown,n/a,Yes,Papilionoideae
Distemonanthus,Unknown,n/a,Yes,Dialioideae
Disynstemon,Unknown,n/a,Yes,Papilionoideae
Dolichopsis,Yes,Rhizobial,Yes,Papilionoideae
Dolichos,Yes,Rhizobial,Yes,Papilionoideae
Dorycnopsis,Unknown,n/a,Yes,Papilionoideae
Droogmansia,Yes,Rhizobial,Yes,Papilionoideae
Dumasia,Yes,Rhizobial,Yes,Papilionoideae
Dunbaria,Yes,Rhizobial,Yes,Papilionoideae
Duparquetia,Unknown,n/a,Yes,Duparquetioideae
Dupuya,Unknown,n/a,Yes,Papilionoideae
Dussia,Unknown,n/a,Yes,Papilionoideae
Dysolobium,Unknown,n/a,Yes,Papilionoideae
Ebenopsis,Unknown,n/a,Yes,Caesalpinioideae
Ebenus,Unknown,n/a,Yes,Papilionoideae
Echinospartum,Unknown,n/a,Yes,Papilionoideae
Ecuadendron,Unknown,n/a,Yes,Detarioideae
Eleiotis,Unknown,n/a,Yes,Papilionoideae
Elephantorrhiza,Yes,Rhizobial,Yes,Caesalpinioideae
Eligmocarpus,Unknown,n/a,Yes,Dialioideae
Elizabetha,Yes,Rhizobial,Yes,Detarioideae
Eminia,Yes,Rhizobial,Yes,Papilionoideae
Endertia,Unknown,n/a,Yes,Detarioideae
Endosamara,Unknown,n/a,Yes,Papilionoideae
Englerodendron,Unknown,n/a,Yes,Detarioideae
Entada,Yes,Rhizobial,Yes,Caesalpinioideae
Enterolobium,Yes,Rhizobial,Yes,Caesalpinioideae
Eperua,No,n/a,Yes,Detarioideae
Eremosparton,Unknown,n/a,Yes,Papilionoideae
Erichsenia,Unknown,n/a,Yes,Papilionoideae
Erinacea,Unknown,n/a,Yes,Papilionoideae
Eriosema,Yes,Rhizobial,Yes,Papilionoideae
Erophaca,Unknown,n/a,Yes,Papilionoideae
Errazurizia,Unknown,n/a,Yes,Papilionoideae
Erythrina,Yes,Rhizobial,Yes,Papilionoideae
Erythrophleum,Yes,Rhizobial,Yes,Caesalpinioideae
Erythrostemon,Unknown,n/a,Yes,Caesalpinioideae
Euchilopsis,Yes,Rhizobial,Yes,Papilionoideae
Euchlora,Unknown,n/a,Yes,Papilionoideae
Euchresta,Yes,Rhizobial,Yes,Papilionoideae
Eurypetalum,Unknown,n/a,Yes,Detarioideae
Eutaxia,Yes,Rhizobial,Yes,Papilionoideae
Eversmannia,Unknown,n/a,Yes,Papilionoideae
Exostyles,No,n/a,Yes,Papilionoideae
Eysenhardtia,Yes,Rhizobial,Yes,Papilionoideae
Ezoloba,Yes,Rhizobial,Yes,Papilionoideae
Faidherbia,Yes,Rhizobial,Yes,Caesalpinioideae
Falcataria,Unknown,n/a,Yes,Caesalpinioideae
Fiebrigiella,Unknown,n/a,Yes,Papilionoideae
Fillaeopsis,Unknown,n/a,Yes,Caesalpinioideae
Fissicalyx,Unknown,n/a,Yes,Papilionoideae
Flemingia,Yes,Rhizobial,Yes,Papilionoideae
Fordia,Unknown,n/a,Yes,Papilionoideae
Gabonius,Unknown,n/a,Yes,Detarioideae
Gagnebina,Unknown,n/a,Yes,Caesalpinioideae
Galactia,Yes,Rhizobial,Yes,Papilionoideae
Galega,Yes,Rhizobial,Yes,Papilionoideae
Gastrolobium,Yes,Rhizobial,Yes,Papilionoideae
Geissaspis,Yes,Rhizobial,Yes,Papilionoideae
Gelrebia,Unknown,n/a,Yes,Caesalpinioideae
Genista,Yes,Rhizobial,Yes,Papilionoideae
Genistidium,Unknown,n/a,Yes,Papilionoideae
Geoffroea,Yes,Rhizobial,Yes,Papilionoideae
Gigasiphon,Unknown,n/a,Yes,Cercidoideae
Gilbertiodendron,Yes,Rhizobial,Yes,Detarioideae
Gilletiodendron,Unknown,n/a,Yes,Detarioideae
Gleditsia,No,n/a,Yes,Caesalpinioideae
Gliricidia,Yes,Rhizobial,Yes,Papilionoideae
Glycine,Yes,Rhizobial,Yes,Papilionoideae
Glycyrrhiza,Yes,Rhizobial,Yes,Papilionoideae
Gompholobium,Yes,Rhizobial,Yes,Papilionoideae
Goniorrhachis,No,n/a,Yes,Detarioideae
Gonocytisus,Unknown,n/a,Yes,Papilionoideae
Grazielodendron,No,n/a,Yes,Papilionoideae
Griffonia,Unknown,n/a,Yes,Cercidoideae
Grona,Unknown,n/a,Yes,Papilionoideae
Gueldenstaedtia,Unknown,n/a,Yes,Papilionoideae
Guianodendron,Unknown,n/a,Yes,Papilionoideae
Guibourtia,No,n/a,Yes,Detarioideae
Guilandina,Unknown,n/a,Yes,Caesalpinioideae
Gymnocladus,No,n/a,Yes,Caesalpinioideae
Haematoxylum,No,n/a,Yes,Caesalpinioideae
Hammatolobium,Unknown,n/a,Yes,Papilionoideae
Hanslia,Unknown,n/a,Yes,Papilionoideae
Haplormosia ,Unknown,n/a,Yes,Papilionoideae
Harashuteria,Unknown,n/a,Yes,Papilionoideae
Hardenbergia,Yes,Rhizobial,Yes,Papilionoideae
Hardwickia,Unknown,n/a,Yes,Detarioideae
Harleyodendron,No,n/a,Yes,Papilionoideae
Harpalyce,Unknown,n/a,Yes,Papilionoideae
Havardia,Unknown,n/a,Yes,Caesalpinioideae
Haymondia,Unknown,n/a,Yes,Papilionoideae
Hebestigma,Unknown,n/a,Yes,Papilionoideae
Hedysarum,Yes,Rhizobial,Yes,Papilionoideae
Hegnera,Unknown,n/a,Yes,Papilionoideae
Helicotropis,Unknown,n/a,Yes,Papilionoideae
Herpyza,Unknown,n/a,Yes,Papilionoideae
Hesperolaburnum,Yes,Rhizobial,Yes,Papilionoideae
Hesperothamnus,Unknown,n/a,Yes,Papilionoideae
Heteroflorum,Unknown,n/a,Yes,Caesalpinioideae
Heterostemon,No,n/a,Yes,Detarioideae
Hippocrepis,Yes,Rhizobial,Yes,Papilionoideae
Hoffmannseggia,Yes,Rhizobial,Yes,Caesalpinioideae
Hoita,Yes,Rhizobial,Yes,Papilionoideae
Holocalyx,Unknown,n/a,Yes,Papilionoideae
Hosackia,Yes,Rhizobial,Yes,Papilionoideae
Hovea,Yes,Rhizobial,Yes,Papilionoideae
Humboldtia,Yes,Rhizobial,Yes,Detarioideae
Huangtcia,Unknown,n/a,Yes,Papilionoideae
Humularia,Unknown,n/a,Yes,Papilionoideae
Hydrochorea,Yes,Rhizobial,Yes,Caesalpinioideae
Hylodendron,No,n/a,Yes,Detarioideae
Hylodesmum,Unknown,n/a,Yes,Papilionoideae
Hymenaea,Yes,Rhizobial,Yes,Detarioideae
Hymenolobium,Yes,Rhizobial,Yes,Papilionoideae
Hymenostegia,Unknown,n/a,Yes,Detarioideae
Hypocalyptus,Yes,Rhizobial,Yes,Papilionoideae
Icuria,Unknown,n/a,Yes,Detarioideae
Indigastrum,Unknown,n/a,Yes,Papilionoideae
Indigofera,Yes,Rhizobial,Yes,Papilionoideae
Indopiptadenia,Yes,Rhizobial,Yes,Caesalpinioideae
Inga,Yes,Rhizobial,Yes,Caesalpinioideae
Inocarpus,No,n/a,Yes,Papilionoideae
Intsia,No,n/a,Yes,Detarioideae
Isoberlinia,Unknown,n/a,Yes,Detarioideae
Isomacrolobium,Unknown,n/a,Yes,Detarioideae
Isotropis,Yes,Rhizobial,Yes,Papilionoideae
Jacksonia,Yes,Rhizobial,Yes,Papilionoideae
Jacqueshuberia,Unknown,n/a,Yes,Caesalpinioideae
Julbernardia,No,n/a,Yes,Detarioideae
Kalappia,Unknown,n/a,Yes,Dialioideae
Kanaloa,Unknown,n/a,Yes,Caesalpinioideae
Kebirita,Unknown,n/a,Yes,Papilionoideae
Kennedia,Yes,Rhizobial,Yes,Papilionoideae
Kingiodendron,Unknown,n/a,Yes,Detarioideae
Koompassia,Unknown,n/a,Yes,Dialioideae
Kotschya,Yes,Rhizobial,Yes,Papilionoideae
Kummerowia,Yes,Rhizobial,Yes,Papilionoideae
Kunstleria,Unknown,n/a,Yes,Papilionoideae
Labichea,Unknown,n/a,Yes,Dialioideae
Lablab,Yes,Rhizobial,Yes,Papilionoideae
Laburnum,Yes,Rhizobial,Yes,Papilionoideae
Lachesiodendron,Unknown,n/a,Yes,Caesalpinioideae
Lackeya ,Unknown,n/a,Yes,Papilionoideae
Ladeania,Unknown,n/a,Yes,Papilionoideae
Lamprolobium,Unknown,n/a,Yes,Papilionoideae
Lasiobema,Unknown,n/a,Yes,Cercidoideae
Lathyrus,Yes,Rhizobial,Yes,Papilionoideae
Latrobea,Yes,Rhizobial,Yes,Papilionoideae
Lebeckia,Yes,Rhizobial,Yes,Papilionoideae
Lebruniodendron,Unknown,n/a,Yes,Detarioideae
Lecointea,No,n/a,Yes,Papilionoideae
Lembotropis,Yes,Rhizobial,Yes,Papilionoideae
Lemurodendron,Unknown,n/a,Yes,Caesalpinioideae
Lennea,Unknown,n/a,Yes,Papilionoideae
Lens,Yes,Rhizobial,Yes,Papilionoideae
Leobordea,Unknown,n/a,Yes,Papilionoideae
Leonardoxa,Unknown,n/a,Yes,Detarioideae
Leptoderris,Unknown,n/a,Yes,Papilionoideae
Leptodesmia,Unknown,n/a,Yes,Papilionoideae
Leptolobium,Unknown,n/a,Yes,Papilionoideae
Leptosema,Unknown,n/a,Yes,Papilionoideae
Leptospron,Unknown,n/a,Yes,Papilionoideae
Lespedeza,Yes,Rhizobial,Yes,Papilionoideae
Lessertia,Yes,Rhizobial,Yes,Papilionoideae
Leucaena,Yes,Rhizobial,Yes,Caesalpinioideae
Leucochloron,Unknown,n/a,Yes,Caesalpinioideae
Leucostegane,Unknown,n/a,Yes,Detarioideae
Libidibia,Unknown,n/a,Yes,Caesalpinioideae
Librevillea,Unknown,n/a,Yes,Detarioideae
Limadendron,Unknown,n/a,Yes,Papilionoideae
Liparia,Unknown,n/a,Yes,Papilionoideae
Listia ,Unknown,n/a,Yes,Papilionoideae
Loesenera,Unknown,n/a,Yes,Detarioideae
Lonchocarpus,Yes,Rhizobial,Yes,Papilionoideae
Lophocarpinia,Unknown,n/a,Yes,Caesalpinioideae
