Names	Index
Rhamnus_pringlei	118.5
Mucuna_membranacea	162
Quercus_jenseniana	147.6
Eurypetalum_unijugum	111.062
Gurania_huberi	172.773
Astragalus_ajubensis	76.8333
Polygala_galioides	124.18
Alnus_mollis	134.667
Geum_montanum	410.406
Sophora_lehmanni	51
Astragalus_physodes	218.9
Begonia_heterochroma	190.667
Malacomeles_pringlei	109.938
Calliandra_bella	199.208
Crotalaria_aurea	45.5714
Ficus_trigona	168.234
Bredemeyera_brevifolia	51.5
Aeschynomene_bracteosa	73.8095
Baijiania_yunnanensis	73
Aspalathus_altissima	91.907
Flemingia_prostrata	119.2
Albizia_burkartiana	173.5
Astragalus_sinaicus	143.262
Inga_augustii	110.5
Astragalus_onobrychis	153.8
Engelhardia_parvifolia	110
Prunus_oocarpa	376.118
Alnus_lanata	168.75
Naucleopsis_straminea	243
Ficus_microclada	86.5
Tormentilla_obovatifolia	212.5
Callerya_cinerea	51.5
Humularia_kapiriensis	63.9
Polygala_polygama	290.602
Acacia_gemina	60.0303
Carpinus_rupestris	121
Malus_daochengensis	201.222
Mimosa_egregia	161.444
Corallocarpus_triangularis	63.725
Betula_litwinowii	334.273
Ficus_lateriflora	269.176
Phylica_acmaephylla	89.25
Crataegus_florea	0
Prunus_sana	106.5
Acacia_cuthbertsoni	26
Zizyphus_taylori	0
Anthyllis_vulnerarioides	231.5
Deguelia_hatschbachii	127.714
Sorbus_danubialis	158.594
Acacia_argyrodendron	44.4595
Albizia_corniculata	85.5
Luetkea_pectinata	388.337
Chamaecrista_lavradiiflora	0
Chamaecrista_calixtana	60
Browneopsis_excelsa	256.167
Millettia_grandis	43.5
Phenax_sonneratii	239.672
Chesneya_mongolica	38.5
Acacia_imbricata	70.7643
Cotoneaster_insignis	124
Archidendron_contortum	66
Astragalus_scorpiurus	112.227
Coursetia_elliptica	219.07
Lathyrus_gorgoni	96.5316
Paliurus_australis	74
Zelkova_sicula	138
Crotalaria_trifoliastrum	48
Astragalus_saadatabadensis	43
Astragalus_mirabilis	87.75
Alchemilla_micans	322.68
Swartzia_iniridensis	0
Amicia_glandulosa	232.911
Leptolobium_nitens	127.066
Piscidia_piscipula	140
Centrosema_pubescens	195.372
Prosopis_humilis	102.333
Echinopepon_insularis	89.9636
Trifolium_diffusum	177.452
Pultenaea_luehmannii	173.821
Ficus_tulipifera	264.75
Tetraberlinia_polyphylla	159.095
Hylodendron_gabunense	155.899
Sicyos_bogotensis	191.333
Genista_clavata	97.4286
Calopogonium_galactioides	262.409
Argyrolobium_aequinoctiale	175.5
Argyrolobium_macrophyllum	123.6
Detarium_macrocarpum	141.233
Tephrosia_mossiensis	39
Quercus_toza	101
Zizyphus_joazeiro	63.5
Gastrolobium_pusillum	54.6538
Andira_anthelmia	141
Morella_caroliniensis	249.28
Oxystigma_msoo	116.929
Abrus_diversifoliolatus	84
Mariosousa_compacta	112.275
Potentilla_viscidula	64.5
Lithocarpus_vinkii	221.333
Pediomelum_argophyllum	121.278
Inga_pezizifera	219.134
Agrimonia_pilosa	301.931
Dalbergia_cultrata	176.417
Camptosema_tomentosum	128.436
Muraltia_hyssopifolia	124.125
Rubus_pedemontanus	235.35
Xylia_xylocarpa	57
Begonia_pediophylla	205.5
Rubus_poliophyllus	226.8
Hosackia_alamosana	47
Phylica_fruticosa	65.8333
Lupinus_rivularis	0
Potentilla_sanguisorba	0
Acacia_latisepala	155.86
Begonia_nigritarum	137.6
Dimorphandra_gardneriana	59.5
Leobordea_mollis	0
Albizia_coripatensis	176.154
Amphithalea_muirii	109.727
Engelhardia_colebrookeana	381
Quercus_coffeicolor	158.2
Meibomia_occidnetalis	127.5
Cyclopia_bowieana	119.6
Aotus_genistoides	112.5
Acacia_hemsleyi	56.2601
Ficus_obtusifolia	199.386
Lupinus_monticola	172.786
Neillia_hanceana	126.234
Bauhinia_gardneri	79.7778
Phylica_diffusa	116.667
Cyclopia_longifolia	100
Pilea_lacorum	245
Trifolium_masaiense	177.591
Begonia_arachnoidea	61.5
Crataegus_curvisepala	78.5
Calliandra_matudai	240.5
Naucleopsis_velutina	86
Rhamnus_prinoides	171.025
Ficus_juruensis	70
Moldenhawera_blanchetiana	190.262
Dumasia_leiocarpa	264
Fordia_splendidissima	227.598
Sorbus_parviloba	129
