Species	Index
Rubus_stimulans	0.76301
Acaciella_angustissima_var_texensis	0.146169
Mimosa_polydidyma	0.5562
Acmispon_maritimus	0.142916
Aspalathus_monosperma	0.608095
Chamaecrista_skinneri	0.290247
Ziziphus_kunstleri	1.27545
Gyrotaenia_microcarpa	1.15968
Astragalus_caraganae	0.148109
Rubus_regionalis	0.968583
Albizia_westerhuisii	0.988988
Xanthophyllum_monticola	1.41118
Cecropia_marginalis	1.92259
Astragalus_monadelphus	0.612146
Dorstenia_flagellifera	0.652188
Flemingia_vestita	0.324748
Abarema_brachystachya	0.825226
Mimosa_diversifolia	0.659754
Brosimum_multinervium	1.63169
Quercus_davidsoniae	1.21458
Begonia_yunckeri	1.21817
Chapmannia_reghidensis	0.0707445
Mimosa_strigillosa	0.804602
Daviesia_physodes	0.582473
Ficus_maximoides	1.04955
Chamaecrista_semaphora	0.92934
Ottleya_wrightii	0.406614
Ulmus_campestris	0.89602
Carpinus_chuniana	1.07628
Philenoptera_katangensis	0.519193
Comesperma_volubile	0.78871
Ficus_pachyrrhachis	1.74575
Trifolium_prophetarum	0.281688
Chamaecrista_pumila	0.980379
Helicostylis_bolivarensis	0.397715
Dalea_zimapanica	0.525919
Nothocnide_repanda	1.86144
Ficus_tristaniifolia	1.44262
Begonia_pinheironis	0.794301
Acacia_trineura	0.355245
Poikilospermum_cordifolium	1.92869
Archidendron_microcarpum	1.65505
Zehneria_perpusilla	1.35585
Adesmia_papposa_var_radicifolia	0.626426
Crotalaria_clarkei	1.15453
Tachigali_leiocalyx	1.0997
Pilea_pumila	1.02021
Cynometra_letestui	0.794848
Thermopsis_smithiana	0.770358
Rhamnus_ilicifolia	0.387328
Aspalathus_salteri	0.467725
Lupinus_benthamii	0.383905
Sericotheca_obovata	0.438532
Spatholobus_maingayi	1.79858
Myriocarpa_cordifolia	1.49589
Quercus_amissaeloba	0.436712
Alnus_alnus	0.640685
Lotus_pendunculatus	0.540771
Acacia_leucoclada	0.540825
Cicer_microphyllum	0.361176
Alchemilla_pallens	2.18783
Wilbrandia_hibiscoides	0.959337
Sorocea_pubivena	1.92352
Prunus_conradinae	1.02859
Mimosa_caesalpiniifolia	0.831861
Sesbania_dummeri	0.689259
Oreocnide_trinervis	1.9536
Dalea_bicolor	0.239444
Rosa_chinensis	0.887977
Eutaxia_microphylla	0.412928
Delonix_pumila	0.321451
Calliandra_trinervia_var_arborea	0.509573
Zornia_flemmingioides	0.621008
Quercus_dalechampii	0.986947
Astragalus_casapaltensis	0.27537
Cerasus_jamasakura	1.74084
Begonia_brachybotrys	1.89039
Lotus_herbaceus	0.634859
Poulsenia_armata	1.55072
Astragalus_lentiginosus_var_borreganus	0.0397904
Prunus_tenella	0.648619
Alchemilla_vulgaris	1.66018
Ficus_mutisii	1.54017
Lupinus_polyphyllus	0.925713
Hylodesmum_pauciflorum	0.979912
Astragalus_ertterae	0.229692
Phanera_burbidgei	2.13548
Astragalus_sanguineus	0.296056
Vachellia_ruddiae	2.11008
Anthonotha_stipulacea	1.42885
Dalea_caeciliae	0.360399
Zornia_tenuifolia	0.467858
Afzelia_bipindensis	1.1283
Astragalus_deterior	0.250076
Crotalaria_griquensis	0.275873
Begonia_cardiocarpa	1.31398
Frangula_ulei	1.46085
Morus_indica	0.927372
Centrosema_unifoliatum	1.03686
Vicia_humilis	0.564151
Mimosa_ramulosa	1.08944
Prosopis_yaquiana	0.0742419
Baptisia_arachnifera	0.728356
Vicia_pinetorum	0.567536
Crataegus_mohrii	0.466381
Indigofera_cryptantha	0.119443
Geum_montanum	2.49566
Lachemilla_sibbaldiifolia	0.836885
Phaseolus_reticulatus	0.549334
Mimosa_pyrenea	1.03358
Hymenaea_reticulata	1.47717
Nothofagus_grandis	0.709026
Acmispon_maritimus	0.197847
Senna_pringlei	0.276815
Bauhinia_wilmsii	0
Colletia_exserta	0.962936
Astragalus_australis	2.03687
Phaseolus_macvaughii	0.493807
Mariosousa_centralis	0.86826
Polygala_polygama	0.957034
Cynometra_inaequifolia	1.26839
Artocarpus_hirsutus	1.56552
Mimosa_ceratonia	1.06667
Sorbus_subpinnata	1.99433
Astragalus_diaphanus	0.323942
Abarema_jupunba	1.54118
Polylepis_weberbaueri	0.83564
Ficus_lateriflora	1.47036
Indigofera_lydenburgensis	0
Trifolium_bejariense	0.615002
Monnina_connectisepala	0.701153
Vachellia_tortilis	0.375262
Elatostema_bullatum	1.4962
Astragalus_coluteoides	0.886877
Marina_orcuttii	0.21142
Clitoria_brachystegia	0.312355
Anthyllis_vulnerarioides	1.27629
Senna_aymara	0.485361
Begonia_gigantea	0.263315
Pediomelum_megalanthum	0.229459
Lathyrus_sphaericus	0.771097
Genista_fasselata	0.544244
Albizia_altissima	1.05154
Polygala_exelliana	0.707775
Pultenaea_kraehenbuehlii	0.411356
Astragalus_saadatabadensis	0.0573398
Gagnebina_commersoniana	0.653373
Crotalaria_epunctata	0.415276
Frangula_caroliniana	0.869154
Castanopsis_javanica	1.86119
Leptolobium_nitens	1.34239
Rhamnus_wilsonii	1.32744
Acaciella_angustissima	0.313647
Crotalaria_magaliesbergensis	0.39787
Carpinus_fargesiana	0.892867
Hippocrepis_constricta	0.0557348
Deguelia_utilis	0.464571
Cynometra_ananta	1.2435
Prosopis_caldenia	0.404757
Lathyrus_magellanicus	0.890583
Lozanella_permollis	0.89772
Pouzolzia_guineensis	0.823381
Otholobium_pubescens	0.570954
Acacia_crassa	0.453342
Tripodion_tetraphyllum	0.473026
Pilea_filipes	0.409261
Elatostema_megaphyllum	1.55403
Astragalus_mongholicus	0.553304
Potentilla_viscidula	0.188532
Inga_pezizifera	1.71805
Gilbertiodendron_brachystegioides	1.34248
Agrimonia_pilosa	1.31887
Polygala_densifolia	1.005
Indigofera_colutea_var_colutea	0.601046
Senna_seleri	0
Baphia_laurifolia	1.33171
Callerya_strobilifera	1.56232
Bikinia_aciculifera	1.08147
Lathyrus_komarovii	0.982008
Tadehagi_triquetrum	1.31697
Senna_bicapsularis	0.70982
Adesmia_confusa	0.380055
Astragalus_coccineus	0.211487
Nothofagus_nuda	0.889584
Rubus_aequiserrulatus	0.885878
Leucaena_trichandra	0.466672
Pilostyles_calliandrae	0.623582
Baptisia_bracteata_var_laevicaulis	0
Albizia_versicolor	0.53482
Erythrostemon_phyllanthoides	0.409282
Pilea_swinglei	1.46261
Delonix_edule	0.336922
Sclerolobium_micrantha	0.705412
Begonia_nigritarum	1.37979
Laportea_ruderalis	1.50845
Amphithalea_muirii	0.227785
Swartzia_trianae	1.55232
Requienia_sphaerosperma	0.175772
Dalbergia_foliacea	0.921812
Ficus_maitin	0.939763
Begonia_palmeri	0.17912
Amicia_zygomeris	0.674113
Lupinus_leucophyllus	0.547962
Senegalia_berlandieri	0.342672
Xylia_evansii	0.620396
Sicyos_collinus	0.214641
Mimosa_calcicola	0.377895
Pilea_fasciata	2.24644
Momordica_multiflora	1.18179
Cyclopia_longifolia	0.338759
Crataegus_curvisepala	0.452514
Inga_vouapaefolia	0.395411
Lathyrus_vivantii	1.48025
Acaena_cyclindristachya	0.633019
Fordia_splendidissima	1.96633
Bauhinia_mombassae	0.517035
Christia_parviflora	0.625838
Mucuna_macropoda	1.0344
Rubus_compactus	1.06809
Crataegus_engelmannii	0.496508
Detarium_microcarpum	0.566156
Crudia_aromatica	1.38009
Myriocarpa_obovata	1.33367
Deguelia_duckeana	1.08653
Guilandina_urophylla	1.82179
Polygala_appressa	1.41583
Apurimacia_boliviana	0.326481
Rubus_genevieri	0.936927
Lotononis_umbellata	0.384482
Quercus_championii	2.15141
Trichosanthes_obscura	1.69603
Dalbergia_assamica	1.12792
Inga_carinata	1.21158
Urtica_perconfusa	0.769152
Aeschynomene_rudis	0.990241
Denisophytum_rosei	0.287649
Dioclea_wilsonii	1.53012
Astragalus_purshii_var_glareosus	0.143284
Acacia_grisea	0.290726
Cayaponia_buraeavii	1.73928
Muraltia_cyclolopha	0.370336
Elatostema_blechnoides	1.73986
Acacia_heterochroa	0.280165
Phyllodium_longipes	0.98951
Lathyrus_leucanthus	0.671777
Crotalaria_aiantha	1.87134
Mimosa_suburbana	0.50448
Astragalus_fatmensis	0.0421108
Desmodium_sericeum	1.23307
Machaerium_falciforme	1.34799
Vachellia_reficiens	0.181644
Plagiosiphon_gabonensis	1.16564
Calliandra_leptopoda	0.363153
Astragalus_lehmannianus	0.319548
Echinopepon_coulteri	0.438442
Alchemilla_undulata	2.39429
Rafnia_opposita	0.225818
Platysepalum_violaceum	0.906845
Lonchocarpus_magallanesii	0.442537
Cyclopia_meyeriana	0.410741
Lupinus_chipaquensis	0.782028
Sechium_tacaco	1.91139
Rubus_vigoi	0.462424
Rubus_idaeus	1.76241
Rubus_chamaearrhenii	0.885878
Trema_lima	0.813189
Rubus_campaniensis	0.985025
Corylus_rostrata	0.902278
Elatostema_diversifolium	1.62131
Milicia_regia	1.06089
Potentilla_nevadensis	0.807255
Schizocarpum_reflexum	0.539683
Mimosa_acapulcensis	0.602186
Leobordea_pulchra	0
Ononis_natrix_subsp_hesperia	0.133951
Acacia_sulcaticaulis	0.139058
Ficus_radula	1.05628
Astragalus_johannis	0.134279
Rubus_contractipes	0.553217
Bryonia_verrucosa	0.309969
Apurimacia_dolichocarpa	0.472829
Quercus_×jahandiezii	0.244168
Chamaecrista_glandulosa_var_mirabilis	0.631684
Adolphia_infesta	0.353549
Hedysarum_micropterum	0.162879
Daviesia_spiralis	0.227683
Acacia_heteroneura	0.106708
Trigonella_griffithii	0.252904
Astragalus_pleianthus	0.462241
Quercus_xylocarpa	1.13018
Ceanothus_diversifolius	0.938572
Archidendron_glomeriflorum	0.66542
Zapoteca_mollis	1.36727
Prosopis_pubescens	0.121871
Dalea_rubescens	0.0996745
Rhamnella_rubrinervis	1.13644
Muraltia_pauciflora	0.381083
Begonia_chingii	1.06771
Galactia_smallii	0.431918
Inga_edwallii	0.630082
Caragana_frutex	0.701742
Berlinia_occidentalis	1.37229
Pithecellobium_furcatum	1.83021
Dipteryx_tetraphylla	0.717389
Zapoteca_portoricensis	1.2931
Millettia_velutina	0.855436
Inga_pilosula	1.22603
Crotalaria_pisicarpa	0.337602
Elaeagnus_tonkinensis	0.855182
Amelanchier_sanguinea	1.00558
Crataegus_lavallei	0.768801
Rubus_vermontanus	1.25945
Thermopsis_montana	0.537895
Acacia_pointeri	0.16384
Ventilago_buxoides	1.17963
Quercus_montana	1.09091
Nothofagus_nervosa	0.517374
Polygala_subalata	0.591566
Bauhinia_brevipes	0.825432
Vicia_tomentosa	0.625699
Ficus_malayana	1.78065
Spiraea_dasyantha	0.726279
Inga_herrerae	1.33802
Calliandra_goldmanii	0.182983
Prunus_perulata	0.940729
Tephrosia_submontana	0.714801
Bolusia_amboensis	0.269543
Gompholobium_shuttleworthii	0.341325
Daviesia_megacalyx	0.24655
Urera_guanacastensis	1.43468
Daviesia_rhizomata	0.231269
Astragalus_greggii	0.125728
Mimosa_domingensis	0.659987
Aotus_subglauca	0.623541
Senna_aphylla	0.205131
Crotalaria_semperflorens	1.7432
Acacia_genistifolia	0.637815
Rubus_rivularis	0.975265
Desmodium_distortum	0.234349
Carpinus_henryana	1.0032
Ficus_recurva	1.92699
Amphithalea_sericea	0.380428
Polygala_japonica	1.57126
Chamaecrista_xinguensis	1.0409
Mimosa_robusta	0.378369
Podalyria_myrtillifolia	0.4737
Castanopsis_acuminatissima	1.71575
Peponopsis_adhaerens	0.715044
Rhinotropis_maravillasensis	0.122952
Cryptosepalum_mimosoides	0.509637
Oxytropis_lambertii_var_lambertii	0.524454
Senegalia_tenuifolia	0.911732
Rosa_davurica	0.877088
Millettia_stuhlmannii	0.597028
Cajanus_acutifolius	0.517135
Ulmus_procera	0.507902
Cynometra_ramiflora	0.798394
Pasania_dinhensis	0.626133
Berlinia_coriacea	0.782259
Deguelia_picta	0.706796
Trifolium_sylvaticum	0.595096
Flemingia_macrophylla_var_philippinensis	1.11523
Senegalia_micrantha	0.377196
Ziziphus_hamur	0.0734151
Begonia_tafaensis	1.68045
Cayaponia_espelina	0.949537
Indigofera_brevidens	0.408251
Ficus_semicordata	1.08945
Mimosa_torresiae	0.374317
Mimosa_gemmulata	0.581229
Dalea_pazensis	0.421149
Mimosa_zygophylla	0.233966
Maillardia_borbonica	0.937963
Crotalaria_saltiana	0.163075
Rubus_thunbergii	1.06447
Lathyrus_palustris_subsp_palustris	1.15427
Hosackia_rosea	1.04225
Lupinus_sufferrugineus	0.256449
Lithocarpus_jacobsii	1.62533
Pithecellobium_roseum	0.557852
Rubus_schleicheri	1.0315
Chorizema_dicksonii	0.579688
Cynometra_marginata	1.38928
Pyrus_coronaria	0.871905
Lupinus_colombiensis	0.776754
Melothria_trilobata	1.4233
Senna_pneumatica	0.863829
Quercus_poculifer	0.213865
Betula_verrucosa	1.06612
Prunus_dielsiana	1.1917
Caragana_acanthophylla	0.12421
Chorizema_diversifolium	0.73147
Lonchocarpus_guatemalensis	0.69548
Rhamnus_tomentella	0.526021
Acacia_difficilis	0.635174
Astragalus_daleae	0.730465
Millettia_bipindensis	1.19923
Ziziphus_elegans	1.01664
Lotus_lebrunii	0.445153
Ficus_christianii	0.930081
Genista_monspessulana	0.648501
Baphia_cordifolia	0.461077
Prosopidastrum_angusticarpum	0.214552
Sicydium_glabrum	1.07494
Myriocarpa_tatei	0.860095
Ficus_tsuii	0.610325
Dendrolobium_lanceolatum	0.412258
Parkia_platycephala	0.753282
Waldsteinia_fragarioides	1.11163
Mariosousa_coulteri	0.439153
Ziziphus_pubescens	0.564425
Crotalaria_dissitiflora	0.248004
