"","species","temperature","bio3","bio4","precipitation","bio15","bio17","elevation","nitrogen","carbon","ph","sand","coarsefragment","needleleaf","deciduousbroadleaf","herbaceous","aridity","nodulation","nodulationtype","subfamily"
"2380","Balizia_pedicellaris",241.738,70.9807,1093.06,1899.27,44.4475,229.693,269.312,159.183,39.8104,51.0467,48.3764,4.64088,0.104396,1.91758,1.21978,1.1147,"Yes","Rhizobial","Caesalpinioideae"
"2381","Balsamocarpon_brevifolium",120.214,55.9286,2560.5,157.357,93.3571,4.71429,931.357,232.75,24.4286,71.7857,58.3571,24.5714,0,0.642857,4.35714,1.18242,"No","n/a","Caesalpinioideae"
"2382","Bambekea_racemosa",240.317,75.439,719.341,1632.27,50.1463,131.341,458.683,133,32.225,50.4,52.35,8.87805,0,1.09524,1.57143,1.00639,"No","n/a","Non-legume"
"2383","Baphia_angolensis",209.5,56,1494.25,1049.12,68.25,41.75,534.5,67.4286,25.25,47.375,48.375,2.375,0.375,3.875,9.625,0.649272,"Yes","Rhizobial","Papilionoideae"
"2384","Baphia_bequaertii",192.423,55.2692,2285.62,1172.69,100.269,0.846154,1257,89.05,20.5,52.1154,52.7308,2.96154,0,15.3846,6.76923,0.651981,"Yes","Rhizobial","Papilionoideae"
"2385","Baphia_buettneri",248.461,70.8431,1163.03,1930.56,67.6275,44.4804,309.137,145.009,65.8725,47.7157,46.0686,8.67647,0,0,0.823529,1.14057,"Yes","Rhizobial","Papilionoideae"
"2386","Baphia_dewevrei_subsp_marceliana",242,81.4062,471.375,1698.72,35.8438,211.344,432.219,110.15,44.6552,46.3793,53.3793,1.7931,0,2.6875,0,1.03748,"Yes","Rhizobial","Papilionoideae"
"2387","Baphia_eriocalyx",237.111,70.8889,831.722,1883.06,55.9444,113.056,244,126.611,39.7222,45.1667,48.1111,12,0,0.777778,0,1.23547,"Yes","Rhizobial","Papilionoideae"
"2388","Baphia_incerta",223.8,71.8,564.2,1451.5,42.4,138.1,436.3,134.667,39.7,44.4,48,2.5,0,0,0.7,0.883503,"Yes","Rhizobial","Papilionoideae"
"2389","Baphia_kirkii",252.596,65.3404,1405.62,1100.47,66.9362,87.1489,85.1489,84.3902,19.3617,58.7234,58.8298,2.93617,0.0638298,12.0213,0.617021,0.678427,"Yes","Rhizobial","Papilionoideae"
"2390","Baphia_laurentii",242.594,78.5,589.094,1666.56,38.0938,200.688,422.062,103.808,49.0333,47.4,56.3333,1.13333,0,4.3125,1.5,1.00706,"Yes","Rhizobial","Papilionoideae"
"2391","Baphia_laurifolia",123.5,38,423.5,1048,30,85.5,203,150.423,9,25,25,9.5,0,0,0,1.33171,"Yes","Rhizobial","Papilionoideae"
"2392","Baphia_leptobotrys",243.404,74.1053,886.895,2104.16,59.5088,117.298,296.86,155.036,39.8246,47.7018,47.3684,10.6667,0,0.578947,0.210526,1.35025,"Yes","Rhizobial","Papilionoideae"
"2393","Baphia_leptostemma",120,39,434.5,803,28.5,69,175,157.63,39,23.5,24,2.5,0,0,0,0.499972,"Yes","Rhizobial","Papilionoideae"
"2394","Baphia_letestui",186.25,51,901.5,1428.25,53.25,17.25,124.5,174,66.5,36.75,36.75,4,0,0,3.25,0.871689,"Yes","Rhizobial","Papilionoideae"
"2395","Baphia_longipedicellata",207.5,69.5,388,1444.67,28.1667,198.333,440,84.5,29.5,42.5,44.8333,2.5,0,0,0,0.87405,"Yes","Rhizobial","Papilionoideae"
"2396","Baphia_macrocalyx",237.333,68.5417,1207.38,1015.75,86.2917,27,189.167,93.0833,20.72,54.12,61.64,2.16,0.12,19.2,0.76,0.644263,"Yes","Rhizobial","Papilionoideae"
"2397","Baphia_madagascariensis",243.071,60.4286,1655.07,1461.5,114.357,7.28571,132.786,135.308,20.7857,52.5,55.1429,5.35714,0,15.0714,5.07143,0.777258,"Yes","Rhizobial","Papilionoideae"
"2398","Baphia_massaiensis",205.857,64.0714,1182.57,663.857,92.2857,4.14286,1050,64.4667,15.7143,53.4286,59.5714,2.71429,0,3.21429,14.6429,0.396591,"Yes","Rhizobial","Papilionoideae"
"2399","Baphia_maxima",246.029,72.2941,934.941,1851.44,61.3824,66.9706,294.059,150.588,53.1765,46.7353,47.8824,8.94118,0,1.41176,1.17647,1.14603,"Yes","Rhizobial","Papilionoideae"
"2400","Baphia_nitida",258.422,71.7267,1036.77,1838.52,65.3851,111.661,208.752,207.414,32.4831,53.5846,55.0338,15.6759,0,2.20615,0.975385,1.13205,"Yes","Rhizobial","Papilionoideae"
"2401","Baphia_obanensis",194.5,57.25,627.75,2139.25,45.75,144.75,89.25,141.6,35.2,38.6,41,10.6,0,2.2,0,1.34846,"Yes","Rhizobial","Papilionoideae"
"2402","Baphia_pauloi",205.667,54,1454,1336.17,57.8333,85.1667,521.333,104.667,28.3333,47.6667,39,5.33333,0,23.6667,0,0.798276,"Yes","Rhizobial","Papilionoideae"
"2403","Baphia_pilosa",250.049,70.8519,1040.19,1859.35,63.4198,59.321,247.975,147.757,60.6951,48.5488,50.061,7.76829,0,0.865854,1.08537,1.16931,"Yes","Rhizobial","Papilionoideae"
"2404","Baphia_pubescens",258.369,71.5478,1025.43,1508.04,60.5987,116.395,193.516,259.928,23.2975,54.7025,56.3797,18.6815,0,2.64151,1.45912,0.931046,"Yes","Rhizobial","Papilionoideae"
"2405","Baphia_puguensis",221.6,61.1,1264,953.6,64.4,60.1,180,76.5,15.9,51.7,58.9,3.1,0,6.5,0,0.634792,"Yes","Rhizobial","Papilionoideae"
"2406","Baphia_punctulata",220.438,64.9375,898.188,963.375,77.5625,13.1875,680.938,90.9167,22.0714,50.9286,55.2857,4.2,0,20.4375,0,0.635531,"Yes","Rhizobial","Papilionoideae"
"2407","Baphia_racemosa",184.957,53,2384.65,948.348,43.7826,96.2174,355.957,124.722,32.5652,55.087,49.6087,7.56522,0.826087,17.2609,1.82609,0.783053,"Yes","Rhizobial","Papilionoideae"
"2408","Baphia_semseiana",210.75,54.125,1493,1133.38,72.375,35.5,416.125,99.5,36,50.875,40.375,6,0,10,0,0.783103,"Yes","Rhizobial","Papilionoideae"
"2409","Baphiastrum_brachycarpum",196.833,64,782.667,1289.5,45.3333,130.667,551,137.409,25.8333,42.1667,45.3333,3.83333,0,6.16667,0,0.997986,"Yes","Rhizobial","Papilionoideae"
"2410","Baptisia_alba_var_macrophylla",178.423,42.0867,6498.22,1329.93,22.9847,250.148,109.801,36,44.7857,52.301,55.949,2.89286,29.3316,8.45408,2.60204,0.985722,"Yes","Rhizobial","Papilionoideae"
"2411","Baptisia_albescens",66.5,20.5,3655.5,778.5,7,163.5,261.5,0,14,27.5,18,3.5,3,2,8,0.617948,"Yes","Rhizobial","Papilionoideae"
"2412","Baptisia_australis",126.07,32.7914,8520.14,1038.5,18.7433,206.513,207.957,133.674,36.3169,59.0219,34.377,5.94536,4.2246,18.369,14.508,0.93633,"Yes","Rhizobial","Papilionoideae"
"2413","Baptisia_bracteata",115.186,31.0465,9082.46,1030.96,25.7054,170.946,208.791,191.742,39.0155,59.9612,35.6202,2.71318,9.76744,4.8062,8.62791,0.950405,"Yes","Rhizobial","Papilionoideae"
"2414","Baptisia_calycosa",182.067,39.2,5602.73,1393.33,25.2667,255.933,33.7333,283.75,67.6,48.6667,62,1.13333,18.3333,3.06667,6.73333,0.601156,"Yes","Rhizobial","Papilionoideae"
"2415","Baptisia_cinerea",155.805,37.8537,7160.8,1173.73,20.5854,230.122,69.8537,74.1429,28.7561,50.1707,52.7073,2.90244,19.561,4.87805,6.29268,0.911903,"Yes","Rhizobial","Papilionoideae"
"2416","Baptisia_lanceolata",191.957,42.6207,6009.75,1403.74,27.319,250.371,40.931,265.913,44.3793,50.5431,71.2155,1.35345,26.8448,3.86207,4.96552,1.00664,"Yes","Rhizobial","Papilionoideae"
"2417","Baptisia_lecontei",201.397,45.8529,5343.9,1339.28,38.4412,210.676,22.9265,596.982,59,51.1029,76.0294,1.41176,24.8088,3.58824,5.23529,0.926175,"Yes","Rhizobial","Papilionoideae"
"2418","Baptisia_megacarpa",172.28,40.12,6439.64,1355.28,19.96,255.2,96.08,76.625,23.6,49.68,51.6,4.08,35.8,5.24,1.2,0.975966,"Yes","Rhizobial","Papilionoideae"
"2419","Baptisia_perfoliata",179.759,41.7963,6376.07,1195.89,24.2037,212.148,67.1296,248.702,33.1667,51.3704,63.4815,1.96296,17.6296,4.25926,7.24074,0.836678,"Yes","Rhizobial","Papilionoideae"
"2420","Baptisia_simplicifolia",176,39.3333,5208,1363,27.3333,242.667,10.8889,392.111,50.6667,43.1111,69,0.888889,46.5556,0,0,0.963945,"Yes","Rhizobial","Papilionoideae"
"2421","Baptisia_sphaerocarpa",186.17,36.4386,6953.39,1167.62,23.3158,220.421,92.7368,328.333,40.7544,59.848,33.7193,2.15789,6.23392,6.09942,18.3275,0.816663,"Yes","Rhizobial","Papilionoideae"
"2422","Baptisia_tinctoria",105.787,32.312,8517.54,1128.41,12.9938,239.831,242.583,190.222,56.3539,53.3704,44.9712,8.10494,7.60905,30.3169,2.93621,1.10343,"Yes","Rhizobial","Papilionoideae"
