species,DR
Laportea_canadensis,0.315546868167938
Laportea_cuspidata,0.227717985149139
Laportea_alatipes,0.152581317511938
Dendrocnide_photiniphylla,1.87140271953461
Dendrocnide_excelsa,1.87140271953461
Dendrocnide_photinophylla,1.40292583739682
Dendrocnide_moroides,1.11315175743191
Urticastrum_decumanum,0.798580945114471
Oreocnide_integrifolia,1.53281580844442
Dendrocnide_sinuata,1.53281580844442
Dendrocnide_cordata,1.17757181648597
Dendrocnide_nervosa,1.17757181648597
Dendrocnide_latifolia,0.567513747076218
Dendrocnide_harveyi,0.457550792423221
Dendrocnide_stimulans,1.3446026258077
Dendrocnide_elliptica,1.3446026258077
Dendrocnide_urentissima,1.03894128388257
Dendrocnide_meyeniana,0.749817080350516
Dendrocnide_morobensis,0.481920463153373
Dendrocnide_moroidea,0.218326271168522
Discocnide_mexicana,0.25855705395738
Coussapoa_viridifolia,0.25855705395738
Urera_altissima,1.90184677464952
Urera_aurantiaca,1.90184677464952
Urera_chlorocarpa,1.33417220991811
Urera_martiniana,1.02881414463525
Urera_killipiana,0.859133311100143
Urera_verrucosa,0.650900795415549
Urera_alceifolia,0.507898879480383
Urera_elata,0.457488621157879
Urera_glabriuscula,0.38311880009071
Urera_caracasana,0.290374138325116
Poikilospermum_lanceolatum,0.592617287164852
Poikilospermum_naucleiflorum,0.592617287164852
Poikilospermum_suaveolens,0.355385682771787
Urera_baccifera,0.427684924014652
Urera_nitida,0.427684924014652
Urera_laciniata,0.264750597747906
Urera_fischeri,3.35335786175584
Urera_sansibarica,3.35335786175584
Urera_woodii,3.63501465864952
Urera_trinervis,3.63501465864952
Urera_batesii,1.02556190780582
Urera_hypselodendron,0.607411845473891
Urera_cameroonensis,0.453321924499299
Urera_corallina,0.301292780655834
Urera_cordifolia,0.180425510920561
Obetia_pinnatifida,0.960583653497039
Obetia_radula,0.960583653497039
Obetia_aldabrensis,0.549859773893052
Obetia_ficifolia,0.395553818824028
Obetia_tenax,0.40505582784848
